,responsibility
51,Propose duplicate thoughts to corporate executives and communicate strategic thinking
52,Conceive and develop efficient and intuitive marketing strategies that align with business goals and objectives
53,Organize and oversee advertising/communication social media campaigns and promotional events
54,"Conduct market research and analysis to evaluate trends, brand awareness and competition ventures"
55,Write and check marketing copy for captions and advertorial
56,"Produce creative content, including videos, blog posts, stories and scripts"
57,Maintain social media channels and schedule posts
58,Produce marketing videos and photographs
59,Cross Marketing with other brands
60,Monitor progress of campaigns using various metrics and submit reports of performance
61,Collaborate with managers in preparing budgets and monitoring expenses
62,Social media updates
63,Event organization
64,Conduct research and create compelling content in line with brand image
65,Organize and manage day-to-day social media strategy and sales operations
66,Create content for digital marketing purpose
67,Assist with creating campaign assets across ad platforms
68,Audit and analyze social media presence and engagement
69,Answer inquiries and create conversations with potential customers on social media
70,Assist with in-store retail sales
71,E-Commerce Order Processing
72,Customer Service
73,Marketplace & Brand Marketing Management
74,Assist with preparation of creative assets for marketplace campaigns
75,Liaise with Marketplace Accounts team on campaigns and ad-hoc issues
76,Generate analysis and reports for team sharing
77,Perform administrative and other ad-hoc duties as assigned by the Marketing Department
78,"Carrying out optimization for video distribution on social media platforms (YouTube, Facebook, Tiktok, etc.)"
79,"Creating metadata for all videos on social presence to optimize reach, viewerships, subscribers, and followers"
80,Monitoring SEO and user engagements after uploading to suggest metadata or other optimization
81,"Ensuring growth output, global standards, and requirements for content distribution and optimization"
82,"Checking the copyright of videos, music, and other intellectual properties"
83,Researching and giving recommendations to increase external traffic sources for videos and channels
84,Tracking and analyzing video performance through analytic tools
85,Generating weekly and monthly reports on channel performance and market insights
86,Managing MCN status and related network issues
87,Planning and executing digital advertising campaigns on Google (YouTube) and Facebook
88,Verifying final results and consolidating payment for English CC Subtitle part-timers monthly
89,Carrying out other tasks assigned by line manager
90,"Writing, reviewing, editing, and updating content for company website, marketing materials, and social media platforms"
91,Conducting research and interviews to learn more about current solar market trends and then contextualizing findings in the promotional works
92,Take the lead to design of promotional materials
93,"Using social media to engage consumers, respond to questions or complaints, and to promote company initiatives"
94,"Collaborating with internal departments to establish campaign objectives, complete tasks, and identify and solve problems"
95,Monitoring social media and company website statistics/reachability performance
96,Suggest suitable utilization of SEO methods to increase site traffic
97,Suggesting new digitalized ways to promote company offerings and to reach consumers
98,Establish strategic marketing plans towards the company’s goals and manage budget to achieve Company revenue and profit
99,"Build up the Company social media presence across various channels, including posting, sharing, engaging and increasing social media engagement"
100,Supporting the Sales Department to achieve the sales target set by the Company
101,Assist in marketing strategy and being able to manage digital platform (e.g. Facebook)
102,"Optimize all digital marketing channels and ads materials across digital placements such as Search, Display, Mobile, and Social Media to maintain an online brand presence, drive new user acquisition, retention, lead gen, etc. based on trends and insights."
103,Optimize content considering SEO and Google Analytics.
104,Ensure a strong web presence on various channels.
105,Design content marketing strategies and set short-term and long-term goals.
106,"Edit, proofread and improve the content."
107,Produce high-quality content by collaborating with design and writing teams.
108,"Create an editorial calendar, delegate tasks, and ensure that deadlines are met."
109,"Maintain a content marketing calendar that schedules all aspects of the creation and delivery of content throughout the year across all platforms, including email, web, blog, and social media."
110,Regularly deliver engaging content.
111,Stay up-to-date with digital developments and generate new ideas to draw the audience’s attention.
112,Liaison with product owners.
113,Handle other ad hoc tasks assigned by or to the Sales and Marketing Department from time to time.
114,Maintaining social marketing platforms
115,Creating compelling content for all social media pages
116,Developing and executing social marketing campaigns
117,"Organizing PR activities, retail/trade activations, and influencer marketing"
118,Creating effective plans and strategies to increase company's branding awareness
119,Analyzing budgets and preparing annual budget plans
120,Ensuring timely production and distribution of marketing collaterals/materials/premiums
121,Creating and maintaining accurate content of copies for social media and email marketing purposes
122,Coordinating with operations team to ensure well-executed marketing strategies
123,"Liaising with suppliers, contractors, and designers for smooth completion of marketing activities"
124,Conceptualizing and developing marketing campaigns
125,Understanding digital marketing landscape and latest trends
126,Implementing digital marketing best practices
127,Managing social marketing calendars and uploading approved content on various social media platforms
128,Monitoring and preparing reports on performance of social media platforms
129,Analyzing competitor activity and researching social media opportunities
130,Assisting in the development and upkeep of influencer marketing and contacts
131,Performing other ad-hoc duties as assigned
132,"Assisting in executing marketing programs, launches, activities & PR events"
133,"Controlling, monitoring and ensuring accuracy of marketing budget"
134,Conducting market research and monitoring competition activity
135,Evaluating marketing campaigns
136,Managing promotional activities to endorse product
137,Managing social media to generate interest and monitor activity
138,Arranging the effective distribution of marketing material
139,Organising and attending events
140,Any other duties as required by the management
141,Performing administrative tasks for company operations
142,"Creating basic accounts such as quotations, sales invoices, delivery orders, etc."
143,Conducting digital and conventional marketing methods
144,Other relevant tasks
145,Promote B2B conferences / trainings worldwide
146,"Coordinate and take ownership of the generation of marketing collaterals, database segmentation, and ensure campaign is on track"
147,"Identify new growth opportunities through establishment of media partners, associations and sponsors"
148,Liaise with clients directly and build client centric relationship which includes responding to client inquiries
149,Conduct in-depth internet market research as well as phone research with senior decision-makers in MNCs and Global Fortune 500 Companies to understand their learning needs
150,Identify and source respected industry experts to become conference speakers
151,Assist General Manager in developing strategic marketing plan for each event
152,Produce a detailed and engaging event agenda to ensure event success
153,Provide support in the implementation of programs and promotional efforts in points-of-sale
154,Research and administer all the information required by managers
155,Support in getting materials and resources for the promotional action
156,Conduct surveys with potential consumers
157,Able to work in the field
158,Must have own vehicle
159,Must have SIM C/A (driving license)
160,Prepares action plans for effective search of new and prospects customers.
161,Provides excellent services and establish long term business relationship with existing customers.
162,Provide frequent Sales Forecast and overall market feedback.
163,"To report on the achievement of Sales in monthly, quarterly and yearly basis."
164,Ensuring attainment of company sales goals and profitability. Sales quota is required.
165,Experience in Textiles Industry will be an added advantage.
166,"Oversee onsite marketing campaigns from beginning to end. Fully responsible for conceptualization, development, and execution of campaigns that grow traffic, improve conversion, and drive new customer acquisition."
167,Track campaign performance and offer ongoing recommendations for campaign optimization.
168,"Keep abreast of trends on social media, e-commerce, digital marketing and industry developments, and leverage on such trends and developments to optimize campaigns."
169,"Brainstorm and offer innovative ideas, partnerships, and activations that enhance campaign performance."
170,Managing Existing Websites/Tik Tok/Facebook/Instagram channels
171,"Market Research, Analysis"
172,Creating & Planning Ad Campaigns
173,Campaign creation and Optimization
174,Email Marketing
175,"Outreach, Collaborations"
176,Developing new marketing channels through different aspects of social media strategies and campaigns
177,Managing a budget for promoting social media posts and advertising materials
178,Keeping track of data and analyzing the performance of social media campaigns
179,Creating content for use on social media platforms
180,"Promoting products, services, and content over social media"
181,Developing and proposing new social media strategies and campaigns
182,Evaluating platforms for running social media ad campaigns
183,Collaborating with colleagues to ensure branding and business consistency
184,Create and develop marketing plans and strategies
185,Manage marketing budget
186,Organize and promote products and services during events
187,Develop marketing material and distribute in online and offline channels
188,Advertise company and products/services on various media
189,Strategize and spearhead marketing initiatives
190,Collaborate with key clients and partners on joint marketing activities
191,Partner with cross-functional teams to plan and execute marketing projects
192,Monitor campaign ROIs and conduct A/B testing
193,Formulate recommendations and develop impactful marketing initiatives
194,Stay updated on the latest marketing technologies and trends
195,"Assist in managing campaign budgets, agencies, and vendors"
196,Oversee and manage the Company and Executive Chairman’s accounts in social media and other marketing channels
197,"Execute all digital marketing including SEO/SEM, EDM, social media campaigns"
198,Improve the effectiveness of campaigns performance through monitoring and A/B testing
199,"Research and understand the USPs, KPIs and target markets of each project activity"
200,"Plan, develop, execute, analyse, and report on digital marketing campaign performance and optimisation strategies"
201,"Develop KPI estimates, budgets and media recommendations, liaise with outsourcers/KOLs, and increase company/project awareness"
202,Provide a monthly ROI analysis report on Ads spent per platform
203,Prepare visual post-campaign reports and monthly meetings
204,Plan and implement creative traffic growth strategies
205,Administer digital marketing applications
206,"Plan digital marketing strategies, oversee all aspects of digital marketing including marketing database, emails, and display advertising campaigns for the brands."
207,"Design and implement a strategy that can enhance customer engagement and traffic in the digital space, the company’s website, and all social media channels for the brands."
208,Ensure to optimize the content for the company’s website and all social media channels.
209,"Study, identify and execute the new digital marketing trends according to the current trends."
210,"Develop, implement and execute marketing campaigns to promote the products and services of the company brands."
211,Manage and maintain our social media presence across all digital channels for the brands.
212,Prepare & deliver a marketing plan with key objectives to the Management regularly.
213,"Measure, track and report on the performance of all digital marketing campaigns to the Management."
214,Conduct customer research and analysis on the brands.
215,Receive customer feedback and generate ideas to increase customer engagement for the brands.
216,To control and monitor marketing A&P spending within the approved budgets.
217,To update the marketing calendars for Management review frequently.
218,Work closely with the Marketing team to brainstorm new ideas and innovative growth strategies to promote the brand.
219,Work with other departments to discuss marketing plan strategies.
220,Any other duties that might be assigned.
221,Develop and implement marketing and communications strategies
222,Generate new leads to support local and overseas sales expansion
223,Work with Management to develop annual marketing workplan
224,Execute annual marketing workplan approved by the Management
225,Content creation and copywriting for online and offline marketing
226,Report lead generation performance and key metrics to the Management weekly
227,Report and manage marketing budget to the Management weekly
228,Key point-of-contact for all agencies supporting marketing
229,Assist in all other tasks assigned by the Management
230,Plan and execute all digital marketing either directly or through agencies
231,"Design, build, maintain and improve B2C lead funnel"
232,Formulate strategies to increase lead quantum and improve conversions
233,Measure and report weekly performance of all digital marketing campaigns
234,Plan and execute retargeting campaigns to generate recurring purchases and referrals
235,Analyze and evaluate end-to-end customer experience/journey across multiple channels and touchpoints
236,Develop strategies to ensure customers are consistently engaged with the brand
237,Grow partner collaborations for cross-promotions and manage existing partner collaborations
238,Communicate with B2C sales team to monitor lead conversions and campaign performance
239,Ensure monthly digital ad spend is able to deliver desired ROAS and revenue
240,Expand digital presence through listing B2C products on multiple platforms
241,Evaluate effectiveness of marketing strategies and tactics
242,Conduct research on marketing trends and competitor marketing analysis
243,Work with the Management to develop and execute regular EDM and other digital marketing campaigns to various industry verticals
244,"Plan, develop and execute annual Year End Sale campaign for early childhood education sector"
245,Communicate with B2B sales team to monitor lead conversions and campaign performance
246,"Identify, plan and participate in relevant trade shows and events"
247,Research new sales opportunities
248,Understanding of the company's services
249,Source for New Lead
250,Maintain strong relationships with existing customers
251,Implement sales strategies
252,Distribute sales materials
253,Implement marketing campaigns
254,Monitor industry trends and competitors
255,Deliver proposals to potential customers
256,Meet or exceed sales quotas
257,Maintain an Accurate Database of Customer and Prospect Information
258,Marketing Strategy Development
259,Online Marketing
260,Offline Marketing
261,Branding and Positioning
262,Lead Generation and Conversion
263,Marketing Collateral Development
264,Analytics and Reporting
265,Customer Relationship Management
266,Assist in the development and implementation of marketing strategies to achieve company objectives.
267,"Conduct market research to identify trends, customer preferences, and competitor activities."
268,"Support the creation of marketing collateral, including brochures, posters and promotional materials."
269,"Help manage and maintain the company's online presence, including social media platforms."
270,Collaborate with the sales team on advertising campaigns and events.
271,Assist in organizing and participating in campaigns and marketing events.
272,Monitor and measure the effectiveness of campaigns.
273,Work closely with the sales team to provide marketing support and materials as needed.
274,Planning and overseeing new marketing initiatives
275,Ensure all sales and marketing functions are align and campaign are roll out promptly
276,"Manage company’s online social media accounts, social media marketing"
277,Maintain good relationship with banks and collaboration partners to allow future collaborations
278,Increasing the value of current customers while attracting new ones
279,"Ad Hoc product shoot, lifestyle shoot, and editing of final artwork for website"
280,Other ad-hoc duties as assigned
281,"Planning and execution of integrated marketing campaigns involving print advertising, direct marketing and online marketing"
282,"Copywriting and crafting of a wide variety of marketing collaterals including brochures, e-flyers, newsletters, press releases, videos, websites, social media posts"
283,On-site marketing engagement at events locally and overseas
284,"Daily Handling of customer enquiries, requests, and feedback via email and SPC hotline, ensuring timely closures."
285,Assist customers to register their SPC membership particulars online and provide monthly summary report to Retail Management.
286,Manage Carwash/Workshop Contracts & Business Relationships – Handling contract and billing administration
287,Manage operator relationship and coordinate with them on customer feedback & resolutions
288,Handle Procurement Services for Retail Stations - Manage tender process and normal purchasing of products and services
289,Coordinate and arrange logistics for our network of retail stations in Singapore
290,Pump price updates and events coordination and execution for Retail.
291,Ad-hoc duties as assigned
292,Developing and organizing advertising policies and campaigns
293,Advising on strategies and campaigns to reach target markets
294,Writing advertising copy and media scripts
295,Collecting and analyzing consumer data
296,Interpreting and predicting consumer trends
297,Researching potential demand and market characteristics
298,Undertaking market research for new and existing goods and services
299,"Advising on marketing elements such as product mix, pricing, and sales promotion"
300,Providing creative ideas for content marketing and website updates
301,Measuring performance of digital marketing efforts
302,"Launching optimized online adverts through Google Adwords, Facebook, etc."
303,Planning and monitoring company presence on social media
304,Regular visits to customers
305,Introducing/informing customers about products
306,Cooperating with customers
307,Promotional activities
308,Willingness to travel out of town
309,Honing analytical skills
310,Developing communication skills
311,Building leadership skills
312,Being self-motivated
313,Being a team player
314,Being ready to learn
315,Being creative
316,Continually meeting or exceeding sales quotas
317,Supervising and guiding the sales team
318,Monitoring the performance of the sales team
319,Building and maintaining good working relationships with customers
320,Identifying opportunities and strategies to increase sales
321,Regularly attending sales meetings and training sessions
322,Ensuring that the store is adequately stocked with company products
323,Performing all duties of the Sales Manager in cases of absence or emergency
324,"To market and promote range of products (marble/granite/tiles), as well as to create awareness of the company and its products & services"
325,Interested in construction industry and preferably with relevant experience
326,Enjoy meeting clientele in the industry involving contractors and consultants.
327,Possess skills in digital marketing
328,Develop creative sales strategies to increase and expand existing Trade Customers business
329,Identify new business opportunities with selective beauty salons.
330,Provide continuous product educating and reinforce products benefits to Trade Customers.
331,Able to achieve sales objective set.
332,Sourcing for new and transfer helper for potential employer.
333,Must be familiar in social media and digital marketing.
334,With realistic and achievable sales target
335,Support Director in executing various marketing campaigns
336,"Be able to propose, develop and execute marketing campaigns with minimal supervision"
337,Track marketing and communications activity and measure against planned objective
338,"Revamp, Update, Create artwork, content and listing across online communication channels including website, social media, IG etc."
339,Organize photo shoots
340,CRM across all online platforms
341,"Create content, plan and schedule social media posts for social media platforms including Facebook, Instagram, Tiktok and Youtube"
342,Take photos and videos for social media and product listings
343,Manage SEO for website
344,"Write, edit and prepare report and collaterals for publication of product brochures and marketing newsletters"
345,Explore new customer database and drive mailing programme
346,Oversee the branding of the organization
347,Support on website and social media updates on promotions and new offerings
348,"Develop Sales marketing plans and proposals, analyse market potential, market share and activities of competitors to provide feedback and suggest lines of action"
349,Seminar/Exhibition preparation
350,Customer Grant application
351,"Co-ordinate Training seminars, product launches and participate in exhibitions & Internal Sales meetings"
352,Prepare quotation
353,Answer company phone and attend to phone or email sales
354,Shipping / delivery arrangement
355,Company paperwork
356,Designing marketing strategies and promotions
357,Implementing marketing plans
358,Creating Point of Sale Materials (POSM)
359,Monitoring marketing expenditures and reporting results
360,Conducting scheduled visits to outlets
361,Establishing and maintaining relationships with stakeholders
362,Placing orders for collaterals and office materials
363,Keeping the website up-to-date with ongoing promotions
364,Scheduling and coordinating photo shoots
365,Organizing and filing paperwork
366,Addressing customer complaints and inquiries
367,Identifying advertising opportunities
368,Monitoring online presence and social media feedback
369,Produce and publish quality content for website and online platform
370,"Contribute ideas to marketing campaigns, manage social media campaigns, and coordinate promotional activities"
371,"Maintain social media presence across selected digital channels, update and monitor Company’s official social media sites and provide timely and appropriate responses to posts"
372,Support and work with operations team to achieve seamless implementation of marketing and promotion campaigns
373,Maintain a classy aesthetic of outlets that sync with the brand
374,Perform any other A&P duties as assigned
375,"Develop, design and execute marketing plans"
376,Conceptualize marketing messages and content
377,Drive product website experience and analytics
378,Conduct market intelligence on competitors
379,Measure and evaluate marketing performance
380,Provide client servicing support
381,Provide support to sales channel
382,Plan and implement marketing campaigns that contribute towards brand awareness and business growth.
383,"Generate brand exposure, event opportunities and creative planning."
384,"Manage social media accounts including reply messages, plan, curate, and execute the contents."
385,"Manage overall project planning, datelines, execution and site coordination."
386,Able to help and resolve any problems in planning and organizing events before and during the event.
387,Coordinate with all related parties before the events.
388,Keep track and manage expenses to ensure activities are executed according to budget plans.
389,Able to provide suggestions to improve events during the post-mortem meetings.
390,"Adhering to our company brand while creating marketing collateral like videos, images, posters, notices, etc for leads / prospects / customers."
391,Any other ad hoc tasks to be assigned.
392,"Approach Interior Designers, Architects, Developers, Consultants and Contractors to present and specify products"
393,"Prepare quotations and sample submissions for differing clientele requirements, projects, and specifications"
394,Maintain professional relationships with new and existing clientele for prolonged business development
395,"Handling all inbound calls pertaining to customer general enquiries, complaints, comments, feedbacks and other raising issue related to the company's products"
396,Exceeding customer expectation in terms of customer service & accurate information
397,Working in a team to achieve the required KPI elements and SLA
398,Manage marketing campaign planning and execution
399,Manage digital influencer projects with the content team
400,"Manage social media posts, promotional emails, and other marketing collateral"
401,"Manage and coordinate in the creation of written, video, and image content for marketing channels"
402,Management of all WINK+ digital assets
403,Be part of the overall WINK+ marketing brainstorming sessions
404,Measure and report the results of defined marketing initiatives
405,Propose relevant and engaging social media & digital content
406,Participate in digital marketing content planning and execution of operational
407,Maintain good relationship with clients and partners
408,Plan marketing campaigns that are synonymous with trends and oversee the entire process
409,Measure and analyze the data of each campaign
410,Assist in ad-hoc marketing activities
411,To monitor the sales and overall performance
412,Post-activities follow-up and prepare monthly report for review
413,"Plan, design, execute, manage, and evaluate Digital Marketing Campaigns"
414,Meet with clients to secure Digital Marketing deals
415,"Conduct research on client's processes, competitors, and industry marketing practices"
416,Formulate Client’s Customer Avatars based on client input
417,Coordinate and manage vendors to create necessary Marketing materials
418,"Set up client’s Facebook, Instagram, and Google SEM"
419,Run and conduct Split-Testing on Ad Campaigns
420,"Prepare, execute, manage, and optimize Digital Marketing Campaigns"
421,Analyze Ad Campaign performance and make improvement suggestions
422,Generate client’s Digital Marketing Ad Campaigns Report
423,Manage clients Campaign timeline and ensure deadlines are adhered to
424,Assist the Directors on occasional Company’s special projects
425,"Lead the planning, execution and optimization of the hotel’s online/social media marketing efforts"
426,"Take the lead in the promotion of internal brand/outlets, products, campaigns, events and services through social media channels and assets"
427,Formulate strategies to build a lasting social/digital connection with stakeholders
428,"Plan, monitor and sustain the company’s presence on social media through a curated calendar of engaging and compelling social media posts and social media activation"
429,"Identify, formulate and launch optimized online/social advertisements to increase the company’s brand awareness across digital and social assets"
430,Plan and monitor the ongoing company presence on social media platforms
431,"Prepare online newsletters, EDMs and promotional emails and organize their distribution through various channels"
432,Lead internal photography and videography projects and arrangements for sales & marketing
433,Other ad-hoc duties as assigned
434,"Plan, manage and implement digital marketing activities"
435,Plan and organize product/brand event launches
436,Set-up and manage photoshoots to liaise with external parties and in-house photographer
437,"Build and maintain relationships with brand partners, architects & designers (A&D) market"
438,"Operate corporate website, social media accounts like Facebook, Instagram and LinkedIn"
439,Update and maintain new or existing brands/products in the website
440,Support contract divisions in ad-hoc collaterals
441,Support senior business strategist in other ad-hoc tasks when required
442,Organize meetings
443,Maintain files
444,Arrange travel
445,Train staff members
446,Multilingual communication
447,Manage day-to-day operations of the office
448,Assist in smooth operation of the projects
449,"Manage content writing for website, social media platform across digital advertisement and social media platforms"
450,Measure and gather digital marketing sources & reference
451,Assist on others operational events & exhibitions
452,Conceptualize and execute 360-degree marketing campaigns
453,Strategize and manage tactical campaigns
454,Plan and execute events
455,Manage client loyalty and referral programs
456,"Content generation for advertorials/editorials, digital and social media platforms"
457,Strategize and manage digital marketing efforts to optimize marketing performance and budgets
458,Identify and secure relationships with key partners for leads generation and sponsorship opportunities
459,"Build relationships and effectively manage both internal stakeholders as well as external partners, agencies, and vendors"
460,Develop marketing collateral
461,Maintain company website and social media channels
462,"Source for Marketing premiums (leads generation, enrollment gifts, etc.)"
463,Oversee and ensure that the daily/weekly/monthly Marketing administrative tasks are delivered in a timely manner
464,"Guide new and junior team members on their daily tasks, and help assimilate them into the team"
465,Any other duties as assigned by the Line Manager and Management
466,Developing effective sales strategies
467,Making cold calls to attract potential customers
468,Handle customer complaints actively and resolve them on time
469,Sell services by convincing the customer
470,Coordinate with other team members as well as other departments
471,"Take notes of customer demands, needs and preferences"
472,Explain the complete details of the service to the customer
473,Maintaining an accurate and detailed record of all sales
474,Preparing and presenting sales reports to the higher management
475,Collaborating with the Marketing department to develop various promotional activities
476,Prepare brand price tags
477,Plan and support promotion and events
478,Create digital content
479,Shoot and produce videos for social media
480,Style products and conduct photo shoots for social media and ads
481,Plan and execute social media marketing
482,Manage Facebook and Instagram
483,Follow up on E-commerce orders
484,Update and revamp E-commerce platform
485,Manage Magazine Advertising & Promotion
486,"Stay informed about the market, industry trends, and the competitive landscape, while strategizing and implementing marketing, branding, and advertising plans"
487,"Create content for monthly newsletters, keep website updated, make social media postings and work on sales and marketing collaterals"
488,"Maintain a directory and inventory of sales support materials, ensuring all resources are current and accurate, and coordinate the creation of new materials as needed"
489,"Conduct research to analyze market trends, customer behavior, and competitive landscape, and prepare reports by collecting, analyzing, and summarizing data"
490,Engage and manage sponsorships with relevant organizations as part of the company’s ESG goals
491,Liaise across departments and with external parties to facilitate smooth execution of sponsorship campaigns according to deadlines
492,Provide general administrative & other ad-hoc duties as assigned
493,Supporting business strategies and implementing marketing efforts
494,Assisting in the implementation of marketing plans to promote products
495,Bringing brand awareness through creative advertising and promotion
496,Supporting event campaigns to generate product awareness and demand
497,Working closely with financial solutions partner on promotion packages and solutions
498,Conducting sales presentations to showcase product/service benefits and features to customers
499,"Developing strong relationships with customers and partners, ensuring quick response and issue resolution"
500,"Serving as a point of contact with government bodies, financial institution partners, and other stakeholders"
501,"Coordinating liaisons such as stock management, purchase processing, and working closely with retail operations, finance, inventory, and procurement teams"
502,Collecting customer feedback for improvement
503,Assisting in sales proposals according to individual customer needs and closing deals
504,Following up on the payment process with customers and financial institutions to ensure smooth operations
505,"Inventory control for brand resources such as marketing brochures, leaflets, and videos"
506,Performing other duties as assigned or required by immediate Manager
507,"Develop and implement comprehensive digital marketing strategies to enhance brand visibility, increase online traffic, and drive conversions."
508,"Create and manage digital marketing campaigns across various platforms, including search engines, social media, email marketing, and display advertising."
509,"Conduct market research to identify trends, consumer preferences, and competitor activities to inform marketing strategies and tactics."
510,"Optimize website content, landing pages, and social media profiles to improve organic search rankings and drive qualified traffic."
511,"Monitor and analyze website analytics, campaign performance metrics, and customer insights to identify areas for improvement and optimize marketing efforts."
512,"Plan and execute social media marketing initiatives to engage with the target audience, build brand loyalty, and drive customer acquisition."
513,"Collaborate with internal teams, such as product development and creative teams, to ensure consistent brand messaging and seamless user experience across all digital touchpoints."
514,"Stay updated with the latest industry trends, digital marketing best practices, and emerging technologies to recommend innovative strategies and tactics."
515,"Manage and allocate the digital marketing budget effectively, ensuring maximum return on investment."
516,"Monitor and respond to customer reviews, comments, and inquiries on social media and other online platforms."
517,"Build, plan and implement the overall company marketing strategy"
518,Monitor ads campaign and implement improvement plans for the marketing campaign
519,Responsible in Social Media planning
520,"Support all aspects of marketing initiatives e.g. website, product brochure design and company event"
521,Brainstorm new and creative growth strategies
522,"Assist in digital marketing activities of Group Commercial including web, social media, search engine optimisation (SEO), search engine marketing (SEM), email and digital advertising campaigns"
523,Compile the performance of digital marketing campaigns and leads
524,Any other ad-hoc task as required by superior
525,"Provide Sales, Marketing and Business Development for the company"
526,Market and promote technical products and services directly to clients
527,Manage client relationships and identify opportunities for new contracts
528,Bid on new projects and negotiate contract terms
529,Identify areas of business growth
530,"Assist in corporate exercises such as exhibitions, conferences, and business development activities"
531,"Provide technical, commercial, and administrative support to company’s principals in communicating with clients in the area of process optimization"
532,"Evaluate suppliers/contractors/vendors performance based on quality standards, delivery time & best prices and ensure all criteria are met according to the organizational requirements and expectations"
533,"Develop full marketing and communication plans including online and offline advertising, PR, events, and branding"
534,"Develop and implement marketing and communication plans, working closely with internal stakeholders and external agencies on deliverables."
535,Lead the implementation of various digital initiatives on social media platforms to boost customer engagement and promote awareness
536,"Constant review and track campaign's ROI to ensure high yield, the right media mix and to gain consumer insights for CRM and/or re-marketing."
537,Identify new avenues through co-marketing opportunities with strategic partners for lead generation and to expand brand exposure.
538,Monitor competitive marketing trends to enable development and implementation of a comprehensive go-to-market strategy
539,Ad hoc duties as assigned
540,Assist in developing and executing marketing strategies.
541,"Plan and manage online and offline marketing campaigns, including social media, email marketing, and events."
542,Collaborate with the creative & design team to create engaging marketing materials and content for various channels.
543,"Manage and maintain all of the brand’s social media platforms, including Facebook, Instagram, TikTok and YouTube."
544,"Regularly create and schedule engaging posts, stories, and updates."
545,Monitor social media metrics and analyze the performance of campaigns to optimize results.
546,"Ensure the brand’s website is up to date with the latest information, promotions, and services."
547,Establish and maintain relationships with influencers.
548,Prepare regular reports on marketing activities and campaigns.
549,Assist in coordinating marketing budgets and expenses.
550,Manage inventory of marketing collaterals and promotional materials.
551,"Handle administrative tasks related to marketing, such as filing, data entry, and coordination of marketing meetings."
552,Undertake ad-hoc projects and duties from time to time.
553,To source for prospective new customers as well as to service existing allocated customers
554,Prepare quotation/contracts
555,To obtain project leads from customers and website
556,Site inspection where necessary
557,Visit and entertain clients where necessary with prior approval
558,Follow up on payment collection
559,Adhoc duties assigned by Management
560,Sourcing reliable media agencies
561,Negotiating with media agencies
562,Data analysis and action planning for the marketing campaign
563,Researching the latest marketing strategies
564,Competitor and market research
